,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
0,Park Ridge,42.0111111,-87.8405556,72.61,53,1,13.8
1,Morant Bay,17.8833333,-76.41666670000001,83.46,70,20,5.75
2,Taşca,46.9,26.016667,43.0,72,100,4.0
3,Nové Hrady,48.790465999999995,14.778110999999999,51.62,47,63,11.01
4,Zula,44.366667,11.333333,55.74,82,75,5.75
5,Gyönk,46.557145,18.477029,53.87,76,0,5.75
6,El Progreso,15.433333300000001,-87.7833333,83.75,78,20,4.61
7,Riosucio,5.42164,-75.703177,73.4,78,75,3.44
8,Mahbūbābād,17.616667,80.016667,94.53,27,76,2.46
9,Dürnten,47.277691,8.842176,62.28,34,0,4.61
10,Molagavita,6.55,-72.833333,82.89,64,100,4.03
11,Kampong Masjid Tanah,2.3585,102.1029,78.4,89,20,4.61
12,Chunian,30.963966999999997,73.980293,94.26,10,0,6.62
13,Pen,18.75,73.083333,87.8,70,0,6.91
14,Santiago Cuautlalpan,19.686667,-99.28694399999999,64.65,45,40,2.26
15,Hāngal,14.766667000000002,75.133333,78.8,65,75,8.05
16,Abbeville,29.974444399999996,-92.13416670000001,77.45,78,90,11.5
17,Bāg,22.366667,74.766667,92.59,21,98,12.55
18,Ştefan Vodă,44.316666999999995,27.316667,62.01,44,79,7.0
19,Čelarevo,45.269444,19.525278,50.63,87,75,14.97
20,Mponela,-13.516666699999998,33.716666700000005,69.75,81,57,5.28
21,Vohibinany,-17.35,49.033333299999995,71.85,98,98,1.32
22,Izberbash,42.569554,47.864471,57.11,77,100,8.95
23,Stromness,58.95,-3.3,46.4,66,20,10.36
24,Ellon,57.35,-2.083333,44.31,93,75,9.22
25,Greathead,13.133333300000002,-61.216666700000005,80.6,74,75,6.91
26,Melivoia,39.75,22.8,69.39,60,0,12.66
27,Ribeirão Bonito,-22.066667000000002,-48.166667,81.41,46,0,4.83
28,Empalme,27.966666999999998,-110.816667,69.01,56,87,5.01
29,Keispelt,49.694444399999995,6.0694444,61.27,31,0,5.75
30,Bānswāra,23.55,74.45,88.97,25,58,23.06
31,Rákócziújfalu,47.066666999999995,20.266667,57.2,41,0,6.91
32,Guatavita,4.936580999999999,-73.833141,60.8,72,40,9.22
33,Songkhla,7.198822,100.595098,75.2,100,75,5.28
