,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
0,Howick,-29.477947,30.230571,68,87,36,2.77
1,Manat,7.5327,126.0173,75.2,100,90,6.91
2,Vanadzor,40.8127778,44.4883333,59,55,90,8.05
3,Ramanathapuram,9.383333,78.833333,85.48,70,34,14.54
4,Kampot,10.6166667,104.1833333,84.2,84,40,8.05
5,Khānpur,28.633333,78.05,87.93,9,0,7.16
6,Sajólád,48.05,20.9,50.23,57,98,8.48
7,Tatsunochō-tominaga,34.866667,134.55,37.99,41,93,1.99
8,Pervomayskoye,53.721111,84.018333,53.6,22,0,11.18
9,Sankeshwar,16.266667,74.483333,78.8,65,20,9.22
10,Gagarin,55.552907,34.995369,40.77,59,70,5.32
11,Traismauer,48.35,15.733333,57.34,36,50,1.01
12,Biloli,18.766667,77.733333,94.17,22,100,10.6
13,Potchefstroom,-26.716667,27.1,64.81,18,2,2.06
14,Lervik,59.266667,10.75,50.72,25,0,6.91
15,Hirosechō-kamiyamasa,35.216667,132.933333,50,62,75,14.97
16,Omoljica,44.760556,20.728056,60.94,31,0,9.22
17,Myre,69.103611,15.949167,32.92,80,75,5.75
18,González,8.386944,-73.339722,76.55,53,90,1.92
19,Troitsko-Pechorsk,62.708359,56.196426,37.76,72,94,3.44
20,Staphorst,52.644273,6.210885,54.01,49,51,5.01
21,Fontanka,46.56255,30.860714,51.4,50,40,11.18
22,Queen Victoria,-20.22,57.7075,75.96,83,75,13.8
23,Ponnāni,10.766667,75.9,84.2,79,20,2.3
24,Bāsugaon,26.466667,90.4,82.87,24,42,2.82
25,Iberia,-11.35,-69.5833333,74.48,70,94,4.9
26,Anantnag,33.733333,75.15,56.77,55,6,3.58
27,Gualjoco,14.95,-88.2333333,80.08,73,75,3.4
28,Boulogne-sur-Mer,50.720702,1.604562,55.4,50,18,12.66
29,Ernei,46.6,24.65,55.18,30,0,5.75
30,Victoria,-38.216667,-72.333333,61.9,49,2,6.51
31,Marystown,47.166667,-55.166667,43.56,75,100,25.05
32,Pericei,47.233333,22.883333,53.38,35,0,4.61
33,Bascaron,13.1029,123.6999,73.51,86,50,4.83
34,Arevshat,40.6486111,44.0444444,59,55,90,8.05
35,Schmitten,47.316667,12.783333,53.1,46,100,5.99
36,Guachucal,0.960931,-77.731605,55.4,82,75,3.44
37,Nesið,62.15,-7.1666667,46.4,87,75,13.8
38,Santa Ana,18.457659,122.143154,76.03,76,55,12.24
39,Tangzhai,34.432778,116.591111,54.36,95,62,6.44
40,Kalāleh,37.380712,55.491639,75.2,73,75,4.61
41,Greathead,13.1333333,-61.2166667,84.2,65,75,5.75
42,Koratla,18.816667,78.716667,85.59,38,97,11.07
43,Velika Obarska,44.8536111,19.1963889,61,34,100,8.03
44,Lundamo,63.116667,10.25,39.96,52,75,6.91
45,Montague,46.166667,-62.65,50.04,93,75,11.5
46,Krousón,35.2333333,24.9833333,64.35,63,20,13.8
47,Vöcklabruck,48.016667,13.65,55.6,23,48,4
48,Mbour,14.4,-16.9666667,84.2,42,0,14.97
49,Cabinuangan,7.683333,126.033333,74.05,95,96,1.63
50,Novyye Rzhavki,56.001111,37.209167,44.6,42,0,13.42
51,Břasy,49.832415,13.568605,52.66,57,15,1.99
52,Sami,38.2541667,20.6513889,68.23,77,20,6.91
53,Monterrey,15.5833333,-87.8833333,87.1,70,20,2.3
54,Riga,56.95,24.1,44.6,61,0,3.44
55,Samagaltay,50.6022,95.0047,31.55,51,45,1.25
56,Amărăşti,44.766667,24.15,68,26,0,9.22
57,Brielle,51.900408,4.171243,53.26,37,26,11.5
58,Protivín,49.201066,14.214535,53.24,32,5,5.01
59,Hanko,59.833333,22.95,40.23,78,100,3
60,Garland,32.9125,-96.6386111,69.15,77,75,13.8
61,Bergholmen,59.366667,13.5,50,27,0,8.05
62,Matlock,53.133333,-1.533333,56.68,45,100,1.99
63,Rájec-Jestřebí,49.416667,16.633333,53.96,26,90,1.99
64,Kitaotao,7.639722,125.008889,72.59,92,69,1.54
65,Quelimane,-17.8786111,36.8883333,84.09,74,40,11.5
66,Rosarito,32.333333,-117.033333,56.59,82,90,9.22
67,Titlāgarh,20.3,83.15,92.68,13,100,1.66
68,Pirapó,-26.583333,-55.633333,71.02,43,0,3.71
69,Limulan,6.585279,124.061892,79.84,79,90,2.98
70,Jennings,38.7191667,-90.2602778,67.6,52,40,16.11
71,Dukhovshchina,55.1919,32.4111,38.98,63,84,4.68
72,Glan Peidu,5.855,125.218611,78.96,83,71,1.81
73,Dymer,50.786469,30.302597,47.16,39,82,8.95
74,Sjøholt,62.483333,6.8,41.77,45,0,6.91
75,Cartago,9.860578,-83.935301,75.47,56,0,16.11
76,Mingora,34.77584,72.36249,71.08,40,59,4.99
77,Valle de Juárez,19.933333,-102.933333,78.31,26,100,2.39
78,Billund,55.731157,9.113309,48.97,31,0,3.44
79,Baggabag B,16.505882,121.190139,71.28,97,100,2.08
80,North Auburn,38.9313889,-121.0808333,44.92,87,1,8.05
